GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
facilities,gov.va.api.lighthouse.facilities.collector,CollectorExceptions.CollectorException,0,4,0,0,0,2,0,1,0,1
facilities,gov.va.api.lighthouse.facilities.collector,CemeteriesTransformer,0,190,0,6,0,52,0,8,0,5
facilities,gov.va.api.lighthouse.facilities.collector,StateCemeteryTransformer,2,454,1,33,1,103,1,31,0,15
facilities,gov.va.api.lighthouse.facilities.collector,CemeteriesCollector.StringTrimModule.new StdScalarDeserializer() {...},3,11,0,0,1,2,0,2,0,2
facilities,gov.va.api.lighthouse.facilities.collector,HealthTransformer,19,1056,10,64,3,227,11,72,1,42
facilities,gov.va.api.lighthouse.facilities.collector,HealthsCollector,22,466,9,29,5,131,9,22,0,12
facilities,gov.va.api.lighthouse.facilities.collector,BenefitsTransformer,0,330,0,38,0,79,0,25,0,6
facilities,gov.va.api.lighthouse.facilities.collector,StateCemeteriesCollector,1,99,1,1,0,31,1,4,0,4
facilities,gov.va.api.lighthouse.facilities.collector,VetCenterTransformer,3,416,4,22,0,87,4,19,0,10
facilities,gov.va.api.lighthouse.facilities.collector,FacilitiesCollector,34,506,8,12,6,130,9,12,1,10
facilities,gov.va.api.lighthouse.facilities.collector,Transformers,0,129,0,30,0,30,0,21,0,6
facilities,gov.va.api.lighthouse.facilities.collector,StateCemeteriesCollector.StringTrimModule,0,12,0,0,0,3,0,1,0,1
facilities,gov.va.api.lighthouse.facilities.collector,StopCode,0,10,0,0,0,3,0,1,0,1
facilities,gov.va.api.lighthouse.facilities.collector,VastEntity,0,12,1,3,0,1,1,2,0,1
facilities,gov.va.api.lighthouse.facilities.collector,DbConfig,17,0,0,0,8,0,2,0,2,0
facilities,gov.va.api.lighthouse.facilities.collector,CollectorExceptions.CemeteriesCollectorException,0,4,0,0,0,2,0,1,0,1
facilities,gov.va.api.lighthouse.facilities.collector,CemeteriesCollector,21,288,6,12,5,74,6,13,0,10
facilities,gov.va.api.lighthouse.facilities.collector,CemeteriesCollector.StringTrimModule,0,12,0,0,0,3,0,1,0,1
facilities,gov.va.api.lighthouse.facilities.collector,CollectorExceptions.VetCentersCollectorException,4,0,0,0,2,0,1,0,1,0
facilities,gov.va.api.lighthouse.facilities.collector,HealthsCollector.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
facilities,gov.va.api.lighthouse.facilities.collector,HealthsCollector.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
facilities,gov.va.api.lighthouse.facilities.collector,VetCentersCollector,6,28,0,0,2,7,0,3,0,3
facilities,gov.va.api.lighthouse.facilities.collector,BenefitsCollector,3,217,0,2,1,60,0,7,0,6
facilities,gov.va.api.lighthouse.facilities.collector,InsecureRestTemplateProvider,28,0,0,0,9,0,3,0,3,0
facilities,gov.va.api.lighthouse.facilities.collector,CollectorExceptions.StateCemeteriesCollectorException,0,4,0,0,0,2,0,1,0,1
facilities,gov.va.api.lighthouse.facilities.collector,CalculateTimeZone,9,63,3,5,3,20,4,4,1,3
facilities,gov.va.api.lighthouse.facilities.collector,CollectorExceptions.HealthsCollectorException,0,4,0,0,0,2,0,1,0,1
facilities,gov.va.api.lighthouse.facilities.collector,StateCemeteriesCollector.StringTrimModule.new StdScalarDeserializer() {...},3,11,0,0,1,2,0,2,0,2
facilities,gov.va.api.lighthouse.facilities.collector,CollectorExceptions.BenefitsCollectorException,0,4,0,0,0,2,0,1,0,1
facilities,gov.va.api.lighthouse.facilities,InternalClientKeyFilterConfiguration.ClientKeyFilter,3,46,0,2,0,21,0,2,0,1
facilities,gov.va.api.lighthouse.facilities,HomeController,6,69,0,2,2,23,0,5,0,4
facilities,gov.va.api.lighthouse.facilities,InternalDriveTimeBandController,20,248,4,8,1,59,4,13,0,11
facilities,gov.va.api.lighthouse.facilities,Parameters,10,102,2,18,0,25,2,15,0,7
facilities,gov.va.api.lighthouse.facilities,DriveTimeBandRepository.MinMaxSpecification,0,68,0,2,0,9,0,2,0,1
facilities,gov.va.api.lighthouse.facilities,WebMvcConfiguration,13,0,0,0,3,0,2,0,2,0
facilities,gov.va.api.lighthouse.facilities,FacilitiesJacksonConfig,9,26,0,0,3,6,0,6,0,6
facilities,gov.va.api.lighthouse.facilities,FacilitiesController.DistanceEntity,0,11,0,2,0,3,0,2,0,1
facilities,gov.va.api.lighthouse.facilities,ExceptionsV0.BingException,0,12,0,0,0,4,0,2,0,2
facilities,gov.va.api.lighthouse.facilities,NearbyController.DeprecatedPssgDriveTimeBandSupport,18,101,3,7,3,20,3,6,0,4
facilities,gov.va.api.lighthouse.facilities,Application,5,3,0,0,2,1,1,1,1,1
facilities,gov.va.api.lighthouse.facilities,CsvTransformer,0,743,0,0,0,49,0,58,0,58
facilities,gov.va.api.lighthouse.facilities,FacilityEntity,11,50,0,0,2,7,1,3,1,3
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0.PhoneSerializer,9,122,4,26,0,37,4,17,0,6
facilities,gov.va.api.lighthouse.facilities,DriveTimeBandEntity.Pk,5,41,1,3,0,6,1,3,0,2
facilities,gov.va.api.lighthouse.facilities,PageLinker,15,237,4,26,0,55,4,18,0,7
facilities,gov.va.api.lighthouse.facilities,InternalCollectorController.CdwException,4,0,0,0,2,0,1,0,1,0
facilities,gov.va.api.lighthouse.facilities,FacilityRepository.StationNumbersSpecification,0,127,1,5,0,24,1,7,0,5
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0.PatientWaitTimeSerializer,3,29,0,0,0,11,0,3,0,3
facilities,gov.va.api.lighthouse.facilities,Controllers,9,140,4,16,1,36,4,12,0,6
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0,13,208,2,16,2,42,2,19,0,12
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0.AddressSerializer,6,146,6,30,0,39,6,18,0,6
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0.ServicesSerializer,7,83,3,11,0,20,2,8,0,3
facilities,gov.va.api.lighthouse.facilities,HealthController,74,458,16,32,5,122,16,21,0,13
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0.WaitTimesSerializer,3,44,1,7,0,12,1,7,0,4
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0.HoursSerializer,3,266,7,23,0,68,7,16,0,8
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0.SatisfactionSerializer,3,45,1,7,0,14,1,7,0,4
facilities,gov.va.api.lighthouse.facilities,GeoFacilityTransformer,9,103,6,4,3,35,5,4,0,4
facilities,gov.va.api.lighthouse.facilities,InternalClientKeyFilterConfiguration,32,0,2,0,6,0,3,0,2,0
facilities,gov.va.api.lighthouse.facilities,WebExceptionHandlerV0,3,245,0,0,1,111,0,13,0,13
facilities,gov.va.api.lighthouse.facilities,FacilityOverlay,36,151,5,23,8,39,6,15,1,6
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0.PropertiesSerializer,3,128,0,0,0,34,0,3,0,3
facilities,gov.va.api.lighthouse.facilities,InternalCollectorController,37,76,0,4,12,20,1,10,1,8
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0.FacilityAttributesSerializer,3,133,0,0,0,35,0,3,0,3
facilities,gov.va.api.lighthouse.facilities,CmsOverlayController,12,111,5,9,5,29,6,4,1,2
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0.FacilitiesMetadataSerializer,3,27,0,0,0,11,0,3,0,3
facilities,gov.va.api.lighthouse.facilities,FacilitiesController,29,1192,10,28,5,336,10,65,0,56
facilities,gov.va.api.lighthouse.facilities,FacilityRepository.StateSpecification,0,119,0,6,0,21,0,8,0,5
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0.AddressesSerializer,3,45,0,6,0,14,0,7,0,4
facilities,gov.va.api.lighthouse.facilities,ExceptionsV0.NotFound,0,23,0,0,0,4,0,2,0,2
facilities,gov.va.api.lighthouse.facilities,JacksonSerializersV0.PageLinksSerializer,8,43,1,1,1,14,1,3,0,3
facilities,gov.va.api.lighthouse.facilities,FacilityRepository.TypeServicesIdsSpecification,0,131,0,8,0,24,0,9,0,5
facilities,gov.va.api.lighthouse.facilities,InternalFacilitiesController,158,1234,50,98,32,315,41,78,1,44
facilities,gov.va.api.lighthouse.facilities,NearbyController,97,576,17,29,11,137,19,23,2,17
facilities,gov.va.api.lighthouse.facilities,FacilityRepository.ZipSpecification,0,119,0,6,0,21,0,8,0,5
facilities,gov.va.api.lighthouse.facilities,FacilityRepository.BoundingBoxSpecification,0,149,0,6,0,24,0,8,0,5
facilities,gov.va.api.lighthouse.facilities,FacilityEntity.Pk,11,64,3,7,0,13,3,5,0,3
facilities,gov.va.api.lighthouse.facilities,FacilityEntity.Type,0,27,0,0,0,5,0,1,0,1
facilities,gov.va.api.lighthouse.facilities,ExceptionsV0.InvalidParameter,0,15,0,0,0,2,0,1,0,1
